OXY,EMG,ECG,RSP,OXY,OXY,OXY,
PO2,mV,mV,V,Pulse,BPM,Status,
CH1,CH2,CH3,CH4,CH5,CH9,CH13,
96.0116,-0.104004,-1.12469,8.95325,-6.08685,74.2354,0.00718031,
96.0211,0.132019,-1.04987,8.95447,-6.03091,74.2354,0.00957405,
96.0307,0.300537,-0.818848,8.95416,-5.97345,74.2548,0.00718031,
96.002,0.392761,-0.459656,8.95355,-5.92809,74.2354,0.00957405,
96.0211,0.480042,-0.0188599,8.95355,-5.88273,74.2548,0.00957405,
96.0116,0.469421,0.438293,8.95325,-5.83888,74.2354,0.0119678,
96.002,0.425903,0.844421,8.95355,-5.8041,74.2354,0.00478657,
96.0116,0.292847,1.14319,8.95355,-5.76933,74.2354,0.00957405,
96.0116,0.132324,1.29041,8.95294,-5.7406,74.2354,0.00957405,
96.002,-0.0982056,1.26025,8.95294,-5.71187,74.2161,0.00957405,
96.0116,-0.283081,1.0564,8.95325,-5.68616,74.2161,0.00957405,
96.002,-0.414612,0.710327,8.95294,-5.66499,74.2548,0.00718031,
96.0116,-0.511597,0.272766,8.95355,-5.64836,74.2161,0.0143615,
95.9828,-0.530579,-0.194824,8.95325,-5.62719,74.1968,0.00957405,
95.9828,-0.520386,-0.62738,8.95325,-5.60905,74.2161,0.00957405,
96.0116,-0.356445,-0.969116,8.95325,-5.46087,74.2161,0.00957405,
96.002,-0.225586,-1.1723,8.95325,-5.28245,74.1774,0.00239283,
96.002,-0.00701904,-1.20996,8.95325,-5.11915,74.2161,0.00478657,
